respondent_id,true_persona,age,age_group,gender,locality,occupation,monthly_income_inr,income_bracket,household_size_bracket,ever_sent_homecooked_food,segment,heard_of_freeze_dry,used_freeze_dry_before,brand_used,frequency_sending_food,method_no_preservation,method_freeze_athome,method_vacuum_self,method_freezedry_service,method_none,dish_dal,dish_rice_biryani,dish_rotis,dish_sabzi,dish_nonveg_curry,dish_sweets_snacks,dish_pickles_chutneys,occasion_abroad_family,occasion_own_travel,occasion_festival_gifting,occasion_emergency_stock,occasion_elderly_parents,channel_instagram,channel_google,channel_referral,channel_kirana_partner,channel_college_rwa,channel_influencer,packaging_pref,taste_importance,price_importance,shelf_life_importance,hygiene_importance,convenience_importance,brand_trust_importance,variety_importance,speed_importance,likelihood_to_use,likely_to_use,max_price_per_kg_inr,price_bracket,min_order_qty_kg,qty_bracket,monthly_spend_inr,spend_bracket,willing_pay_extra_speed,would_recommend
R0061,Convenience_Family,38,35-44,Female,,Salaried / Employed,104100.0,"Rs 1,00,001 - 2,00,000",1-2,Yes,Traveler_Student,No,No,,Occasionally (every 2-3 months),0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,"Sealed pouches (lightweight, compact)",4,4,4,5,4,4,4,4,3,No,845.0,Above Rs 600,2.6,1-2 kg,970.0,"Rs 500-1,500",Yes,Yes
R0062,Traveler_Budget,21,Under 25,Male,Uppal,Student,39600.0,"Below Rs 50,000",5-6,Yes,Traveler_Student,No,No,,Rarely (once or twice a year),0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,Jars/containers (reusable),3,4,3,4,4,3,4,5,4,Yes,282.0,Below Rs 300,6.8,6-10 kg,270.0,Below Rs 500,Yes,No
R0063,Convenience_Family,42,35-44,Male,LB Nagar,Salaried / Employed,274800.0,"Rs 2,00,001 - 3,50,000",3-4,Yes,NRI_Family,Yes,No,,Rarely (once or twice a year),0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,Jars/containers (reusable),4,4,4,5,5,4,4,4,4,Yes,900.0,Above Rs 600,1.9,1-2 kg,240.0,Below Rs 500,Maybe,Yes
R0064,Skeptical_LowIntent,51,45-54,Male,Jubilee Hills,Salaried / Employed,34800.0,"Below Rs 50,000",5-6,No,Neither,No,No,,Rarely (once or twice a year),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,No strong preference,2,4,2,3,2,2,3,2,3,No,270.0,Below Rs 300,12.0,More than 10 kg,180.0,Below Rs 500,Yes,No
R0065,Convenience_Family,37,35-44,Male,Jubilee Hills,Retired,48900.0,"Below Rs 50,000",1-2,No,Neither,No,No,,Occasionally (every 2-3 months),1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,"Sealed pouches (lightweight, compact)",4,4,4,4,4,4,3,3,3,No,585.0,Rs 501-600,2.2,1-2 kg,490.0,Below Rs 500,No,Maybe
R0066,Convenience_Family,36,35-44,Male,Gachibowli,Self-employed / Business owner,99100.0,"Rs 50,000 - 1,00,000",3-4,Yes,Neither,No,No,,Frequently (monthly or more),1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,Jars/containers (reusable),4,4,4,4,4,4,4,4,3,No,477.0,Rs 401-500,4.8,3-5 kg,2940.0,"Rs 1,501-3,000",No,Yes
R0067,Convenience_Family,29,25-34,Female,Manikonda,Retired,149000.0,"Rs 1,00,001 - 2,00,000",5-6,Yes,NRI_Family,Yes,No,,Occasionally (every 2-3 months),0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,Jars/containers (reusable),4,4,4,5,4,4,4,3,5,Yes,655.0,Above Rs 600,2.1,1-2 kg,530.0,"Rs 500-1,500",Yes,Yes
R0068,Traveler_Budget,25,25-34,Female,Madhapur,Self-employed / Business owner,55600.0,"Rs 50,000 - 1,00,000",5-6,Yes,Traveler_Student,Yes,No,,Rarely (once or twice a year),1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,No strong preference,3,4,3,4,4,3,3,4,3,No,320.0,Rs 300-400,5.2,3-5 kg,240.0,Below Rs 500,No,No
R0069,NRI_Quality,28,25-34,Female,Ameerpet,Self-employed / Business owner,594700.0,"Above Rs 3,50,000",3-4,Yes,NRI_Family,Yes,No,,Occasionally (every 2-3 months),0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,Jars/containers (reusable),5,3,5,4,5,4,3,3,5,Yes,704.0,Above Rs 600,4.8,3-5 kg,1510.0,"Rs 1,501-3,000",Yes,Yes
R0070,Traveler_Budget,21,Under 25,Prefer not to say,Jubilee Hills,Homemaker,25900.0,"Below Rs 50,000",3-4,Yes,NRI_Family,Yes,No,,Occasionally (every 2-3 months),0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,"Sealed pouches (lightweight, compact)",3,4,3,4,5,3,3,4,4,Yes,344.0,Rs 300-400,14.0,More than 10 kg,2460.0,"Rs 1,501-3,000",Maybe,Maybe
R0071,NRI_Quality,44,35-44,Male,Kukatpally,Salaried / Employed,88900.0,"Rs 50,000 - 1,00,000",3-4,No,Neither,No,No,,Occasionally (every 2-3 months),1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,"Sealed pouches (lightweight, compact)",4,2,4,5,4,4,4,4,5,Yes,613.0,Above Rs 600,5.5,3-5 kg,1300.0,"Rs 500-1,500",Yes,Yes
R0072,Traveler_Budget,33,25-34,Male,Jubilee Hills,Salaried / Employed,35300.0,"Below Rs 50,000",7 or more,No,Traveler_Student,Yes,Yes,Spice Up Foods,Occasionally (every 2-3 months),0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,No strong preference,3,5,4,3,4,4,4,4,5,Yes,298.0,Below Rs 300,4.4,3-5 kg,700.0,"Rs 500-1,500",Yes,Yes
R0073,Skeptical_LowIntent,66,55 and above,Female,Miyapur,Self-employed / Business owner,23200.0,"Below Rs 50,000",3-4,No,Neither,No,No,,Rarely (once or twice a year),1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,No strong preference,1,4,2,3,3,2,2,2,2,No,303.0,Rs 300-400,2.3,1-2 kg,100.0,Below Rs 500,No,No
R0074,NRI_Quality,37,35-44,Male,Gachibowli,Salaried / Employed,127100.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,NRI_Family,Yes,No,,Never,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,Jars/containers (reusable),5,2,5,5,3,5,4,4,5,Yes,900.0,Above Rs 600,2.5,1-2 kg,110.0,Below Rs 500,Yes,Yes
R0075,NRI_Quality,55,55 and above,Female,Kukatpally,Retired,43900.0,"Below Rs 50,000",3-4,Yes,NRI_Family,No,No,,Occasionally (every 2-3 months),1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,Jars/containers (reusable),4,2,5,5,4,5,3,4,4,Yes,456.0,Rs 401-500,5.2,3-5 kg,1430.0,"Rs 500-1,500",No,Yes
R0076,Traveler_Budget,27,25-34,Female,Jubilee Hills,Salaried / Employed,31900.0,"Below Rs 50,000",3-4,Yes,Traveler_Student,Yes,No,,Occasionally (every 2-3 months),1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,Jars/containers (reusable),3,4,4,3,4,4,4,4,3,No,386.0,Rs 300-400,11.1,More than 10 kg,1620.0,"Rs 1,501-3,000",No,Yes
R0077,Traveler_Budget,25,25-34,Male,Jubilee Hills,Salaried / Employed,43700.0,"Below Rs 50,000",3-4,Yes,Traveler_Student,Yes,No,,Frequently (monthly or more),1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,Jars/containers (reusable),2,5,4,3,4,3,4,4,5,Yes,230.0,Below Rs 300,7.3,6-10 kg,1910.0,"Rs 1,501-3,000",Yes,Yes
R0078,Convenience_Family,41,35-44,Male,Banjara Hills,Homemaker,58000.0,"Rs 50,000 - 1,00,000",3-4,Yes,Neither,Yes,Yes,My Taste My Meal,Rarely (once or twice a year),1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,No strong preference,4,4,4,4,5,4,4,3,4,Yes,708.0,Above Rs 600,5.6,3-5 kg,710.0,"Rs 500-1,500",Maybe,No
R0079,Convenience_Family,38,35-44,Male,Uppal,Salaried / Employed,94700.0,"Rs 50,000 - 1,00,000",5-6,Yes,Neither,No,No,,Occasionally (every 2-3 months),1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,No strong preference,3,3,5,4,4,4,4,4,3,No,726.0,Above Rs 600,2.4,1-2 kg,830.0,"Rs 500-1,500",Yes,Yes
R0080,Skeptical_LowIntent,36,35-44,Male,Begumpet,Retired,69800.0,"Rs 50,000 - 1,00,000",5-6,No,Neither,No,No,,Rarely (once or twice a year),0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,"Sealed pouches (lightweight, compact)",2,4,2,2,2,1,2,1,3,No,261.0,Below Rs 300,2.7,1-2 kg,100.0,Below Rs 500,No,No
R0081,Convenience_Family,35,35-44,Male,Begumpet,Homemaker,115600.0,"Rs 1,00,001 - 2,00,000",7 or more,Yes,Traveler_Student,No,No,,Rarely (once or twice a year),0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,"Sealed pouches (lightweight, compact)",4,4,3,5,5,5,4,4,2,No,601.0,Above Rs 600,4.4,3-5 kg,580.0,"Rs 500-1,500",Maybe,Yes
R0082,Traveler_Budget,19,Under 25,Male,Begumpet,Salaried / Employed,73200.0,"Rs 50,000 - 1,00,000",3-4,Yes,Traveler_Student,Yes,No,,Never,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,"Sealed pouches (lightweight, compact)",3,4,4,4,4,4,4,4,4,Yes,408.0,Rs 401-500,4.7,3-5 kg,100.0,Below Rs 500,No,Yes
R0083,Skeptical_LowIntent,18,Under 25,Female,Manikonda,Homemaker,105900.0,"Rs 1,00,001 - 2,00,000",3-4,No,Neither,Yes,Yes,My Taste My Meal,Occasionally (every 2-3 months),1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Jars/containers (reusable),2,3,1,3,2,3,1,3,2,No,334.0,Rs 300-400,3.6,3-5 kg,560.0,"Rs 500-1,500",No,Maybe
R0084,NRI_Quality,48,45-54,Female,Kukatpally,Self-employed / Business owner,120500.0,"Rs 1,00,001 - 2,00,000",5-6,Yes,NRI_Family,Yes,Yes,Leela Instant Foods,Frequently (monthly or more),0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,Jars/containers (reusable),4,2,4,5,3,5,4,2,5,Yes,746.0,Above Rs 600,6.7,6-10 kg,4700.0,"Rs 3,001-5,000",Maybe,Yes
R0085,NRI_Quality,40,35-44,Female,Kukatpally,Homemaker,138200.0,"Rs 1,00,001 - 2,00,000",5-6,Yes,Neither,No,No,,Occasionally (every 2-3 months),1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,Jars/containers (reusable),4,2,5,5,4,5,5,4,4,Yes,900.0,Above Rs 600,6.6,6-10 kg,2750.0,"Rs 1,501-3,000",Yes,Yes
R0086,NRI_Quality,37,35-44,Male,Kukatpally,Homemaker,151800.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,NRI_Family,No,No,,Occasionally (every 2-3 months),0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,"Sealed pouches (lightweight, compact)",4,3,5,5,3,4,5,3,5,Yes,900.0,Above Rs 600,5.2,3-5 kg,2510.0,"Rs 1,501-3,000",Yes,Maybe
R0087,Convenience_Family,38,35-44,Male,Kukatpally,Homemaker,85500.0,"Rs 50,000 - 1,00,000",3-4,Yes,Neither,No,No,,Never,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,"Sealed pouches (lightweight, compact)",4,4,4,5,5,4,3,3,4,Yes,774.0,Above Rs 600,6.0,6-10 kg,220.0,Below Rs 500,Yes,Yes
R0088,Traveler_Budget,30,25-34,Male,Madhapur,Student,46200.0,"Below Rs 50,000",5-6,Yes,Traveler_Student,Yes,No,,Occasionally (every 2-3 months),1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,"Sealed pouches (lightweight, compact)",3,4,4,4,4,4,3,4,3,No,457.0,Rs 401-500,5.9,3-5 kg,830.0,"Rs 500-1,500",Maybe,Yes
R0089,NRI_Quality,44,35-44,Male,LB Nagar,Salaried / Employed,103800.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,NRI_Family,No,No,,Occasionally (every 2-3 months),0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,Jars/containers (reusable),5,3,5,5,4,4,4,4,5,Yes,603.0,Above Rs 600,4.8,3-5 kg,1430.0,"Rs 500-1,500",Yes,No
R0090,Traveler_Budget,23,Under 25,Female,Gachibowli,Student,39100.0,"Below Rs 50,000",5-6,Yes,Traveler_Student,No,No,,Occasionally (every 2-3 months),0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,"Sealed pouches (lightweight, compact)",4,4,4,4,4,3,3,4,3,No,388.0,Rs 300-400,10.1,6-10 kg,1450.0,"Rs 500-1,500",Maybe,Maybe
R0091,NRI_Quality,53,45-54,Male,Jubilee Hills,Retired,145800.0,"Rs 1,00,001 - 2,00,000",1-2,Yes,NRI_Family,Yes,Yes,My Taste My Meal,Never,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,"Sealed pouches (lightweight, compact)",4,3,5,5,5,4,4,4,3,No,770.0,Above Rs 600,3.3,3-5 kg,150.0,Below Rs 500,Yes,Maybe
R0092,Convenience_Family,51,45-54,Male,Banjara Hills,Self-employed / Business owner,77800.0,"Rs 50,000 - 1,00,000",3-4,No,Neither,No,No,,Occasionally (every 2-3 months),1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,"Sealed pouches (lightweight, compact)",4,3,4,5,5,4,4,4,4,Yes,471.0,Rs 401-500,1.0,1-2 kg,210.0,Below Rs 500,Yes,Maybe
R0093,Traveler_Budget,28,25-34,Female,Kukatpally,Student,41600.0,"Below Rs 50,000",3-4,Yes,Neither,No,No,,Rarely (once or twice a year),0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,"Sealed pouches (lightweight, compact)",4,4,2,4,5,3,3,4,2,No,494.0,Rs 401-500,4.3,3-5 kg,380.0,Below Rs 500,Maybe,Maybe
R0094,Traveler_Budget,31,25-34,Male,Ameerpet,Self-employed / Business owner,41600.0,"Below Rs 50,000",1-2,Yes,Neither,Yes,No,,Occasionally (every 2-3 months),1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,"Sealed pouches (lightweight, compact)",3,5,4,4,5,3,4,4,5,Yes,484.0,Rs 401-500,7.5,6-10 kg,1380.0,"Rs 500-1,500",Maybe,Yes
R0095,Traveler_Budget,32,25-34,Male,LB Nagar,Student,33400.0,"Below Rs 50,000",5-6,No,Traveler_Student,No,No,,Occasionally (every 2-3 months),0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,No strong preference,3,5,4,4,4,3,4,4,4,Yes,448.0,Rs 401-500,9.7,6-10 kg,1780.0,"Rs 1,501-3,000",Yes,Yes
R0096,Convenience_Family,47,45-54,Male,Manikonda,Other,119600.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,Neither,No,No,,Rarely (once or twice a year),0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,No strong preference,5,5,4,4,5,3,3,3,2,No,733.0,Above Rs 600,2.8,1-2 kg,290.0,Below Rs 500,Yes,Yes
R0097,Traveler_Budget,29,25-34,Female,Kukatpally,Salaried / Employed,55900.0,"Rs 50,000 - 1,00,000",1-2,Yes,Traveler_Student,Yes,No,,Occasionally (every 2-3 months),0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,"Sealed pouches (lightweight, compact)",3,4,3,4,4,2,3,4,3,No,260.0,Below Rs 300,11.0,More than 10 kg,990.0,"Rs 500-1,500",Maybe,Yes
R0098,NRI_Quality,47,45-54,Female,Uppal,Salaried / Employed,81800.0,"Rs 50,000 - 1,00,000",5-6,Yes,NRI_Family,Yes,Yes,Spice Up Foods,Frequently (monthly or more),0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,"Sealed pouches (lightweight, compact)",5,2,5,4,4,4,4,4,3,No,891.0,Above Rs 600,5.6,3-5 kg,6090.0,"Above Rs 5,000",Yes,Maybe
R0099,NRI_Quality,47,45-54,Male,Gachibowli,Self-employed / Business owner,173500.0,"Rs 1,00,001 - 2,00,000",5-6,Yes,NRI_Family,Yes,No,,Occasionally (every 2-3 months),1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,"Sealed pouches (lightweight, compact)",4,3,4,5,3,5,5,4,5,Yes,620.0,Above Rs 600,5.3,3-5 kg,1100.0,"Rs 500-1,500",Yes,Yes
R0100,Skeptical_LowIntent,23,Under 25,Female,Kondapur,Self-employed / Business owner,45200.0,"Below Rs 50,000",5-6,No,NRI_Family,No,No,,Never,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,"Sealed pouches (lightweight, compact)",3,4,2,2,2,2,2,1,1,No,293.0,Below Rs 300,1.7,1-2 kg,100.0,Below Rs 500,No,Maybe
R0101,Skeptical_LowIntent,43,35-44,Female,Miyapur,Homemaker,29600.0,"Below Rs 50,000",3-4,Yes,Neither,Yes,No,,Never,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Jars/containers (reusable),2,2,2,3,2,2,2,2,2,No,324.0,Rs 300-400,5.9,3-5 kg,100.0,Below Rs 500,Maybe,No
R0102,Convenience_Family,27,25-34,Female,Kondapur,Salaried / Employed,121600.0,"Rs 1,00,001 - 2,00,000",5-6,No,Traveler_Student,Yes,Yes,Leela Instant Foods,Rarely (once or twice a year),0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,"Sealed pouches (lightweight, compact)",4,4,4,4,4,4,3,4,3,No,672.0,Above Rs 600,3.7,3-5 kg,360.0,Below Rs 500,Yes,Yes
R0103,NRI_Quality,35,35-44,Male,Manikonda,Salaried / Employed,94700.0,"Rs 50,000 - 1,00,000",3-4,Yes,Neither,Yes,Yes,My Taste My Meal,Occasionally (every 2-3 months),0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,"Sealed pouches (lightweight, compact)",5,2,4,5,4,4,4,4,4,Yes,573.0,Rs 501-600,2.8,1-2 kg,770.0,"Rs 500-1,500",Yes,Maybe
R0104,Skeptical_LowIntent,49,45-54,Male,Kukatpally,Homemaker,48800.0,"Below Rs 50,000",3-4,Yes,Neither,Yes,Yes,Leela Instant Foods,Rarely (once or twice a year),0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,No strong preference,3,3,3,2,2,1,1,3,2,No,224.0,Below Rs 300,2.1,1-2 kg,240.0,Below Rs 500,No,No
R0105,Skeptical_LowIntent,44,35-44,Female,Gachibowli,Homemaker,61100.0,"Rs 50,000 - 1,00,000",1-2,No,Neither,No,No,,Never,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,"Sealed pouches (lightweight, compact)",2,3,2,1,1,2,2,3,2,No,267.0,Below Rs 300,8.2,6-10 kg,100.0,Below Rs 500,No,No
R0106,Convenience_Family,50,45-54,Male,Ameerpet,Self-employed / Business owner,127600.0,"Rs 1,00,001 - 2,00,000",3-4,No,NRI_Family,No,No,,Occasionally (every 2-3 months),0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,No strong preference,4,3,3,4,5,4,4,4,4,Yes,705.0,Above Rs 600,5.4,3-5 kg,1810.0,"Rs 1,501-3,000",No,No
R0107,Traveler_Budget,25,25-34,Female,Gachibowli,Student,54600.0,"Rs 50,000 - 1,00,000",5-6,No,Traveler_Student,Yes,No,,Occasionally (every 2-3 months),0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,"Sealed pouches (lightweight, compact)",3,5,4,4,4,4,4,5,3,No,353.0,Rs 300-400,10.7,6-10 kg,1940.0,"Rs 1,501-3,000",No,Yes
R0108,NRI_Quality,32,25-34,Female,Ameerpet,Self-employed / Business owner,70300.0,"Rs 50,000 - 1,00,000",3-4,No,NRI_Family,Yes,No,,Frequently (monthly or more),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,"Sealed pouches (lightweight, compact)",5,3,4,4,4,5,5,4,4,Yes,754.0,Above Rs 600,6.7,6-10 kg,4260.0,"Rs 3,001-5,000",No,Yes
R0109,NRI_Quality,40,35-44,Male,Ameerpet,Homemaker,154000.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,NRI_Family,No,No,,Rarely (once or twice a year),0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,"Sealed pouches (lightweight, compact)",4,3,5,5,4,5,4,3,4,Yes,1045.0,Above Rs 600,7.4,6-10 kg,700.0,"Rs 500-1,500",Yes,Yes
R0110,Skeptical_LowIntent,36,35-44,Female,Miyapur,Homemaker,47000.0,"Below Rs 50,000",5-6,No,Neither,No,No,,Never,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"Sealed pouches (lightweight, compact)",3,4,2,2,3,2,1,3,2,No,350.0,Rs 300-400,3.1,3-5 kg,100.0,Below Rs 500,No,Maybe
R0111,Traveler_Budget,26,25-34,Female,Secunderabad,Student,115300.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,Neither,No,No,,Occasionally (every 2-3 months),1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,"Sealed pouches (lightweight, compact)",2,5,3,4,4,4,3,4,3,No,380.0,Rs 300-400,8.3,6-10 kg,1000.0,"Rs 500-1,500",Maybe,Maybe
R0112,NRI_Quality,52,45-54,Female,Uppal,Self-employed / Business owner,120500.0,"Rs 1,00,001 - 2,00,000",3-4,Yes,Traveler_Student,Yes,No,,Rarely (once or twice a year),1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,Jars/containers (reusable),5,2,5,5,4,5,4,4,4,Yes,885.0,Above Rs 600,5.4,3-5 kg,790.0,"Rs 500-1,500",Yes,Maybe
R0113,Traveler_Budget,24,Under 25,Male,Banjara Hills,Salaried / Employed,22200.0,"Below Rs 50,000",7 or more,Yes,NRI_Family,Yes,Yes,Dryfii,Occasionally (every 2-3 months),1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,No strong preference,2,5,4,5,4,3,4,4,3,No,368.0,Rs 300-400,6.4,6-10 kg,980.0,"Rs 500-1,500",No,Maybe
R0114,Convenience_Family,41,35-44,Female,Secunderabad,Salaried / Employed,93200.0,"Rs 50,000 - 1,00,000",5-6,Yes,NRI_Family,No,No,,Never,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,"Sealed pouches (lightweight, compact)",4,4,4,4,5,4,4,4,3,No,745.0,Above Rs 600,4.2,3-5 kg,130.0,Below Rs 500,Yes,Yes
R0115,NRI_Quality,33,25-34,Female,Madhapur,Self-employed / Business owner,289300.0,"Rs 2,00,001 - 3,50,000",7 or more,Yes,NRI_Family,Yes,No,,Rarely (once or twice a year),0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,"Sealed pouches (lightweight, compact)",4,3,5,5,4,4,5,3,4,Yes,900.0,Above Rs 600,4.7,3-5 kg,630.0,"Rs 500-1,500",No,No
R0116,Skeptical_LowIntent,40,35-44,Female,Ameerpet,Retired,131700.0,"Rs 1,00,001 - 2,00,000",7 or more,No,NRI_Family,No,No,,Rarely (once or twice a year),1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,"Sealed pouches (lightweight, compact)",2,4,3,2,2,3,2,3,2,No,313.0,Rs 300-400,3.8,3-5 kg,170.0,Below Rs 500,Maybe,Maybe
R0117,Skeptical_LowIntent,35,35-44,Female,Dilsukhnagar,Homemaker,149600.0,"Rs 1,00,001 - 2,00,000",5-6,Yes,Neither,No,No,,Never,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,No strong preference,2,3,2,1,2,3,2,2,2,No,366.0,Rs 300-400,3.8,3-5 kg,100.0,Below Rs 500,No,No
R0118,Convenience_Family,32,25-34,Female,Miyapur,Salaried / Employed,53700.0,"Rs 50,000 - 1,00,000",5-6,Yes,Neither,No,No,,Occasionally (every 2-3 months),0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,"Sealed pouches (lightweight, compact)",4,4,4,4,5,4,3,4,3,No,836.0,Above Rs 600,5.5,3-5 kg,1540.0,"Rs 1,501-3,000",Maybe,Yes
R0119,Traveler_Budget,25,25-34,Male,Ameerpet,Student,78000.0,"Rs 50,000 - 1,00,000",3-4,Yes,Traveler_Student,No,No,,Never,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"Sealed pouches (lightweight, compact)",3,5,4,4,4,3,3,4,4,Yes,524.0,Rs 501-600,8.1,6-10 kg,150.0,Below Rs 500,Yes,Maybe
R0120,Convenience_Family,37,35-44,Male,Kukatpally,Salaried / Employed,60500.0,"Rs 50,000 - 1,00,000",1-2,No,Neither,No,No,,Occasionally (every 2-3 months),1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,No strong preference,4,4,4,5,4,4,4,3,2,No,579.0,Rs 501-600,7.6,6-10 kg,2260.0,"Rs 1,501-3,000",Maybe,Maybe
R0121,Convenience_Family,36,35-44,Male,Gachibowli,Homemaker,88400.0,"Rs 50,000 - 1,00,000",3-4,Yes,Neither,Yes,No,,Rarely (once or twice a year),1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,No strong preference,3,3,3,4,5,4,4,5,4,Yes,417.0,Rs 401-500,5.9,3-5 kg,340.0,Below Rs 500,Yes,Maybe
R0122,Convenience_Family,52,45-54,Female,Manikonda,Homemaker,48600.0,"Below Rs 50,000",5-6,No,Neither,No,No,,Occasionally (every 2-3 months),1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,Jars/containers (reusable),4,3,4,4,4,4,3,3,3,No,449.0,Rs 401-500,3.6,3-5 kg,870.0,"Rs 500-1,500",Yes,No
R0123,NRI_Quality,41,35-44,Female,Secunderabad,Self-employed / Business owner,90200.0,"Rs 50,000 - 1,00,000",3-4,Yes,NRI_Family,No,No,,Frequently (monthly or more),0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,"Sealed pouches (lightweight, compact)",5,3,5,5,4,5,4,4,4,Yes,900.0,Above Rs 600,6.4,6-10 kg,5330.0,"Above Rs 5,000",Yes,No
